order_id,customer_id,product_id,order_timestamp,quantity,unit_price,discount_pct,status,updated_at,pipeline_run_id,staged_at_utc,first_name,last_name,email,city,customer_tier,created_at,updated_at_cust,pipeline_run_id_cust,staged_at_utc_cust,_merge_cust,name,brand,unit_price_prod,active,updated_at_prod,category.name,category.department,pipeline_run_id_prod,staged_at_utc_prod,_merge_prod,quarantine_reason
O0023192,C01399,P0078,2025-01-03 09:43:00+00:00,2,212.65,0.0,SHIPPED,2025-01-05 00:43:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Lara,Diaz,lara.diaz1399@example.com,Taguig,Bronze,2023-12-01T00:00:00+00:00,2026-03-30 16:50:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0041595,C01602,P0078,2025-01-10 18:31:00+00:00,4,708.96,0.05,CANCELLED,2025-01-11 00:31:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Nina,Diaz,nina.diaz1602@example.com,Manila,Silver,2023-12-13T00:00:00+00:00,2025-02-24 14:50:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0011714,C01685,P0078,2025-01-15 04:21:00+00:00,6,810.65,0.15,PENDING,2025-01-17 22:21:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Ben,Garcia,ben.garcia1685@example.com,Makati,Bronze,2023-01-07T00:00:00+00:00,2024-03-11 12:38:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0048363,C01340,P0078,2025-01-27 04:51:00+00:00,6,707.57,0.1,CANCELLED,2025-01-27 07:51:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Victor,Navarro,victor.navarro1340@example.com,Mandaluyong,Gold,2023-11-07T00:00:00+00:00,2024-10-10 23:52:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0005097,C01862,P0078,2025-02-02 03:37:00+00:00,5,790.16,0.0,PENDING,2025-02-02 14:37:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Oscar,Garcia,oscar.garcia1862@example.com,Mandaluyong,Silver,2023-07-03T00:00:00+00:00,2025-01-25 22:27:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0021432,C02293,P0078,2025-02-01 15:54:00+00:00,2,525.12,0.0,PENDING,2025-02-03 16:54:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Julia,Cruz,julia.cruz2293@example.com,Pasig,Gold,2023-01-25T00:00:00+00:00,2024-09-02 08:40:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0027758,C02088,P0078,2025-02-18 08:30:00+00:00,4,650.41,0.15,SHIPPED,2025-02-20 17:30:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Diego,Lim,diego.lim2088@example.com,Pasig,Bronze,2023-09-10T00:00:00+00:00,2024-05-28 03:12:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0019305,C02740,P0078,2025-03-01 21:01:00+00:00,8,480.31,0.05,DELIVERED,2025-03-04 04:01:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Victor,Cruz,victor.cruz2740@example.com,Taguig,Bronze,2023-01-25T00:00:00+00:00,2025-03-13 07:21:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0045301,C01423,P0078,2025-03-12 04:31:00+00:00,7,205.51,0.15,CANCELLED,2025-03-14 23:31:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Kevin,Pascual,kevin.pascual1423@example.com,Marikina,Silver,2023-05-23T00:00:00+00:00,2025-02-01 21:02:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0024656,C01912,P0078,2025-03-25 20:02:00+00:00,1,616.27,0.15,DELIVERED,2025-03-28 06:02:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Ben,Dela Cruz,ben.delacruz1912@example.com,Mandaluyong,Bronze,2023-12-08T00:00:00+00:00,2025-07-15 11:24:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0000444,C02032,P0078,2025-03-30 12:17:00+00:00,7,816.09,0.05,PENDING,2025-04-01 02:17:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Wendy,Castillo,wendy.castillo2032@example.com,Parañaque,Gold,2023-06-13T00:00:00+00:00,2024-08-13 02:12:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0047170,C01971,P0078,2025-04-01 08:38:00+00:00,5,499.38,0.15,PENDING,2025-04-02 20:38:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Diego,Fernandez,diego.fernandez1971@example.com,Pasig,Silver,2023-10-14T00:00:00+00:00,2025-02-24 18:05:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0005700,C00291,P0078,2025-04-26 00:25:00+00:00,6,953.49,0.0,CANCELLED,2025-04-26 16:25:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Lara,Castillo,lara.castillo291@example.com,Pasay,Bronze,2023-05-31T00:00:00+00:00,2024-04-19 00:53:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0003896,C02762,P0078,2025-05-01 20:00:00+00:00,5,768.19,0.05,DELIVERED,2025-05-03 06:00:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Ben,Mendoza,ben.mendoza2762@example.com,Pasig,Bronze,2023-10-25T00:00:00+00:00,2024-05-04 17:50:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0000204,C00912,P0078,2025-06-01 19:42:00+00:00,7,669.78,0.15,DELIVERED,2025-06-02 18:42:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Wendy,Mercado,wendy.mercado912@example.com,Pasay,Silver,2023-05-19T00:00:00+00:00,2025-07-03 03:48:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0046582,C01442,P0078,2025-06-03 23:13:00+00:00,8,814.66,0.15,DELIVERED,2025-06-06 17:13:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Ivan,Villanueva,ivan.villanueva1442@example.com,Pasig,Bronze,2023-05-16T00:00:00+00:00,2024-02-09 17:03:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0030091,C01518,P0078,2025-06-07 09:21:00+00:00,5,650.01,0.1,CANCELLED,2025-06-09 13:21:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Xavier,Tan,xavier.tan1518@example.com,Quezon City,Silver,2023-10-31T00:00:00+00:00,2025-07-20 22:16:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0008613,C01207,P0078,2025-06-27 19:42:00+00:00,8,213.28,0.0,CANCELLED,2025-06-28 10:42:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Hannah,Fernandez,hannah.fernandez1207@example.com,Makati,Gold,2023-08-03T00:00:00+00:00,2024-02-11 07:15:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0005571,C01841,P0078,2025-06-27 02:54:00+00:00,8,382.36,0.1,CANCELLED,2025-06-28 17:54:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Oscar,Mercado,oscar.mercado1841@example.com,Manila,Bronze,2023-11-21T00:00:00+00:00,2025-01-17 20:38:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0014035,C00659,P0078,2025-07-05 18:35:00+00:00,2,653.55,0.15,PENDING,2025-07-07 03:35:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Marco,Mendoza,marco.mendoza659@example.com,Manila,Bronze,2023-03-14T00:00:00+00:00,2024-08-17 06:52:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0028332,C01393,P0078,2025-07-13 02:18:00+00:00,7,258.01,0.0,CANCELLED,2025-07-15 21:18:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Ben,Ramos,ben.ramos1393@example.com,Mandaluyong,Bronze,2023-01-25T00:00:00+00:00,2025-11-09 01:26:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0004758,C00503,P0078,2025-07-21 06:24:00+00:00,2,685.65,0.0,CANCELLED,2025-07-22 14:24:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Oscar,Garcia,oscar.garcia503@example.com,Parañaque,Gold,2023-03-02T00:00:00+00:00,2025-05-23 21:22:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0028129,C01636,P0078,2025-07-26 12:05:00+00:00,5,530.35,0.05,DELIVERED,2025-07-27 18:05:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Wendy,Aquino,wendy.aquino1636@example.com,Marikina,Gold,2023-09-07T00:00:00+00:00,2024-02-21 22:24:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0009114,C00069,P0078,2025-08-09 21:21:00+00:00,5,349.84,0.0,DELIVERED,2025-08-10 18:21:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Yasmin,Tan,yasmin.tan69@example.com,Pasig,Bronze,2023-09-07T00:00:00+00:00,2025-04-04 05:05:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0004796,C01875,P0078,2025-08-22 17:46:00+00:00,5,464.87,0.0,DELIVERED,2025-08-23 01:46:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Sofia,Flores,sofia.flores1875@example.com,Caloocan,Bronze,2023-11-13T00:00:00+00:00,2024-06-15 17:31:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0025882,C02061,P0078,2025-08-30 16:11:00+00:00,8,791.6,0.0,DELIVERED,2025-09-01 07:11:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Ana,Tan,ana.tan2061@example.com,Parañaque,Bronze,2023-10-18T00:00:00+00:00,2024-08-24 11:21:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
O0049825,C02539,P0078,2025-09-19 09:59:00+00:00,3,637.52,0.0,DELIVERED,2025-09-22 05:59:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,Ben,Torres,ben.torres2539@example.com,Makati,Gold,2023-01-26T00:00:00+00:00,2025-03-06 19:24:00+00:00,run_20260921T020436Z_3fa54907,2026-09-21 02:20:50.866987+00:00,both,,,,,,,,,,left_only,Orphan reference: Missing customer or product
